n_image,hex0,L0,U0,V0,size0,hex1,L1,U1,V1,size1,hex2,L2,U2,V2,size2,hex3,L3,U3,V3,size3,hex4,L4,U4,V4,size4
0001,#e6d2b3,85.0838594455175,14.023588158552425,25.230802733543033,0.28258369460500965,#665244,36.5121072057903,13.295718583712407,12.249583117733387,0.19096770632626847,#b9c7bf,78.99656357089417,-7.361864527366605,4.59090306697283,0.47271094251766216,#db3d3e,50.39099040653021,120.63666963772549,25.650629695487684,0.01784732257546564,#486194,41.31904296849191,-12.732030606879134,-45.00024934444772,0.03589033397559409
0002,#e6e2d8,89.9399517646513,2.860801583718516,8.129560334294535,0.38639109666024407,#4a5f93,40.81040464589947,-11.313672774704745,-45.302697865340065,0.12424333654463712,#cba989,71.47309587209578,23.84582316511888,27.22110839587173,0.10928769267822736,#8bb261,68.16213898729895,-19.41193904894516,51.36193462361826,0.1396631141618497,#4b5444,34.50598253593433,-4.185971802721897,10.617064594071978,0.24041475995504175
0003,#3a3e2d,25.364360951696412,-1.3782965985999056,10.869050485371123,0.5365220576429031,#bed49b,82.05532560349623,-10.135617428571248,38.987231729147275,0.13226708012202953,#747c9f,52.54358428911753,-5.979790846923829,-29.814256354385265,0.12509282675016056,#c37f8b,60.46809769096279,43.60253109692363,1.1226610241423813,0.07394428387925497,#586f3e,43.93203344337093,-11.207244995628862,31.085757582448828,0.1321737516056519
0004,#88917b,58.89558617606059,-4.071168304089696,15.640006328570335,0.17596188583815028,#485151,33.6824128063075,-4.66831934144643,-1.0127522532282445,0.37119912090558765,#babc8c,75.01320928298861,1.2649368126435439,34.45164544129563,0.15599861512524085,#678089,51.98129799853699,-13.091080578163659,-10.127100338947756,0.23387774967886962,#af9e81,65.86768251186221,12.283773878480693,23.28069286421316,0.06296262845215157
0005,#a0bcab,73.79129131654612,-14.4455111460718,10.107480623527865,0.24050708493898523,#2e3636,21.891825399674737,-3.7396870322576703,-0.8104798289365045,0.20649185131663456,#5a706e,45.479808307014174,-11.283450225993787,-0.8610612422113785,0.28607799454078353,#8f7254,50.114687783181765,20.91899873003743,24.29738715266934,0.07490265735388568,#7c9684,59.67435787244581,-13.318807483377219,11.107096024169667,0.19202041184971097
0006,#94b5a8,70.98811094524972,-17.00327036317138,6.5692908059158714,0.6389004295118819,#bda28c,68.42665000750193,18.31812168331803,19.601266411623616,0.09916355571612075,#647067,46.01103993364547,-6.146693433401946,5.563468182136468,0.15759573699421967,#4f372b,25.470461868413942,15.41397704244452,10.4310622225084,0.07942005860629416,#273f73,27.36348571419488,-10.140840208221544,-42.574427089805376,0.024920219171483623
0007,#7a6445,43.77324432157294,16.12300252352057,23.595938926339223,0.1284501445086705,#eadabc,87.61442110152602,11.377566147193289,24.107609100426856,0.38821702392421326,#b2a27e,67.13607715443594,12.08750106120577,27.89962839350572,0.09411127167630058,#d48c51,64.4424906189543,55.84012813342768,45.017225805480535,0.009370985870263327,#e8dec4,88.63068550479902,7.40037610400945,20.6173970796019,0.37985057402055233
0008,#525648,35.8245453893276,-1.5421350394170683,9.749627352917816,0.2302941353564547,#838c94,57.76975781647526,-5.32026104698943,-7.494393363115989,0.2602440590879897,#dcdac9,86.7883121001299,2.1011442566635266,13.166675374764472,0.19473296001926782,#cd5314,50.94158887465103,100.22047006619454,41.97177904860249,0.015798109344894028,#b4a483,67.94194052192212,11.874696003905633,25.936276306525166,0.2989307361913937
0009,#5e8756,52.26317336967229,-20.371079194314405,31.358355506690863,0.11655376926782274,#c39b72,66.71861640791857,29.144629141314546,33.29125198582355,0.33769518705844576,#5b4938,32.42476522445294,12.13532043003578,13.58747113816531,0.36529734666024405,#89b677,69.54463558683858,-22.55341619788178,40.95561561437845,0.043089173892100194,#5b6544,41.13465958485101,-4.296842365645204,22.11933284397256,0.13736452312138728
0010,#696562,43.051889501866825,2.4620989670946876,2.7680728677764277,0.539086083012203,#7fa76e,64.3827582356217,-20.061152844662672,37.20134214071813,0.08620494139370584,#be9571,64.67199879110247,29.53446637574038,30.210633367421778,0.04957048811817598,#d6cdbf,82.76465797719435,6.088221004363345,11.748006290987062,0.16245183044315992,#5e806e,50.62098682482025,-16.943168237500224,10.420579375857507,0.1626866570327553
0011,#4d5138,33.45280614684407,-1.1156214974420313,16.740330722839776,0.3143861392100193,#e7d959,85.67372750522327,15.02661214077519,77.00747931365014,0.33201268464996786,#c25d32,51.301673222489285,80.45624441585481,36.72375562695783,0.10706787893384714,#e0dfd0,88.53197953462244,1.405801067724519,11.553589782819671,0.164748414418754,#755d9b,44.200311098348976,7.63499114333148,-46.86169779830879,0.0817848827874117
0012,#e9e5cf,90.719405997051,3.549523926300657,17.055202372035648,0.2788415221579961,#707970,49.84507320505277,-4.568989633572291,5.900960249517064,0.2852857056840077,#844437,36.586288987930914,46.28783624520759,17.031358827800215,0.06363298811817598,#4a4445,29.46236782191609,3.218189132583343,-0.020379306420496422,0.16321551862556197,#8997a4,61.76763849296252,-8.12869847695645,-12.186293723277979,0.2090242654142582
0013,#7e8793,55.95738037490618,-5.482124946737308,-10.749747127106906,0.38450997511239565,#333e35,24.970797405415446,-5.068663936872437,5.168681747782476,0.19222412893384713,#dfdfd2,88.50326805676843,0.7185561215707261,9.938872752216483,0.07115948137443802,#656a60,44.11692374166208,-2.298174509886346,7.010456570108277,0.16275539900449582,#515662,36.530503045108816,-3.215439477205016,-9.993323970701834,0.18935101557482337
0014,#7c86a3,56.0671453036763,-6.724075933125007,-25.025931049074586,0.34295118818240206,#c7b486,73.87297798325983,14.619819386654068,34.887219927145296,0.07138929030186256,#7f8ecd,60.1276829009995,-10.437877949362758,-54.61006507934477,0.21106996628131022,#646469,42.526605414392044,-0.28072974546624846,-3.902921196422821,0.15367794637122673,#d2d7cb,85.30876301126088,-2.1892345288269968,8.633334698602134,0.22091160886319847
0015,#49545b,35.02790942472024,-5.893825403819706,-6.689274349820748,0.3040055997109827,#3a4c66,31.869589090191667,-9.028571630678616,-22.60646964334178,0.15639501043673731,#b2b5aa,73.16430843131354,-1.1182038534602565,8.133732594601952,0.12336976156069364,#879bc8,63.96870372689217,-12.109841029023677,-39.86629076228443,0.1112917469492614,#333e35,24.970797405415446,-5.068663936872437,5.168681747782476,0.30493788134232497
0016,#627590,48.6763726225724,-10.616005504170351,-24.43916862788226,0.4335972623635196,#464747,30.06773449883876,-0.5296015441532806,-0.11908718160770738,0.23260025289017341,#818c69,56.528772732983626,-4.75746830543724,24.458070284046062,0.08241259232498395,#939491,61.15679947176763,-0.40197124303178416,2.213573257584138,0.09604558044315992,#485367,35.08984398311588,-6.288138783611235,-17.151113920414492,0.15534431197816315
0017,#8ba345,63.43603416006172,-10.997179727820633,56.734713433069935,0.16138206486833653,#2f4762,29.393473433147463,-10.78019866981349,-23.73137994242827,0.07898603082851638,#eadfbd,88.8952571586979,8.50056036528086,26.384875934814634,0.32457851637764934,#544a34,31.876049356083257,7.237490589995651,15.795467940983478,0.21280457209377007,#d2b66d,74.99025317814616,22.50530041464773,51.12150084041868,0.22224881583172768
0018,#ddd1b1,84.04271042865196,9.049705882358587,25.081238159429024,0.3025203717084136,#453120,22.182263093483485,12.912903961373198,12.167159416176881,0.17126033638407193,#cdb361,73.59954069753724,21.641639022841503,55.20657898013894,0.30380940912010274,#8c5e3b,44.08523114547297,34.42671680506636,27.726234853400996,0.13052645311496466,#315572,34.730911815271824,-15.36969922759613,-27.158108109611522,0.09188342967244702
0019,#4a3c38,26.658224981134353,8.22324026060283,4.41193603929085,0.16995373715478485,#a5a997,68.46753689006682,-1.3517405834260647,13.284390468244718,0.42937489964675657,#e9d9b4,87.11702842809322,11.842661030344903,28.96151235120569,0.18020181037251123,#7f8739,54.17039028444671,-1.7534139073543984,47.58117748546861,0.09089545199100835,#d0b762,74.92547878650186,21.055180584054057,56.83073517183357,0.12957410083493898
0020,#627f7b,50.926344304483536,-14.723132230135313,0.009334054429011788,0.20679190751445087,#25375e,23.451068238291363,-7.903402889678062,-30.985113196640427,0.05975433526011561,#3b4848,29.493893865104354,-6.3993079610137125,-1.3856101670396994,0.24463411207450225,#8b969d,61.42556902544591,-6.347342765777345,-6.928935661269526,0.4427294075144509,#baa695,69.38537137339914,13.28779948663226,15.243284988575585,0.04609023763648041
0021,#425e68,38.13320328194121,-13.449393149020425,-10.967070395225335,0.18233080443159924,#a1a098,65.73754979950414,1.0287603329197677,6.307097440533939,0.35980049775208733,#2f4149,26.349146154108524,-8.321498125685727,-7.831329760480958,0.17086444283879254,#3f4f80,34.41036636208914,-8.888934168119247,-41.33853665545285,0.08599570488118176,#222a30,16.54977282079733,-3.4868167935793895,-4.647257834279465,0.2010085500963391
0022,#6d9142,55.982535798007945,-17.98704335081842,48.11735059464144,0.10220325545921644,#dee7d2,90.47531384280265,-4.005359813523392,14.926725766748113,0.24515996307000643,#d2e49e,87.80317411508614,-7.364365851648376,47.65774097472392,0.25745373715478487,#afd5dc,82.84360224398732,-19.864253367296225,-9.917293955206771,0.194411829640334,#b3d05e,79.3302950710188,-13.12950288130934,69.28535368292684,0.2007712146756583
