hex0,luv0,hex1,luv1,hex2,luv2,hex3,luv3,hex4,luv4
#639b5a,"[58.8193426075572, -27.60865838216644, 40.89187494452185]",#7a614d,"[43.097515968366984, 17.300938170657965, 17.112683736264007]",#4b7479,"[46.13240185946766, -19.324124346572646, -8.280323867514666]",#1d2e2e,"[17.517712818113324, -6.74165919536214, -1.4575716171337678]",#cfd0a1,"[82.35214720132294, 1.8541035147950702, 34.06321763698949]"
#51828b,"[51.35680588173405, -22.77751500227603, -12.413756365449277]",#629c5b,"[59.092885947278305, -28.494271773055466, 40.85386444911217]",#f3e6ba,"[91.3220547895221, 10.323187042220855, 33.44035431936513]",#c6a59d,"[70.42122441184844, 21.002377283205867, 10.3214069166057]",#558e53,"[53.92209422859803, -27.66381469497775, 36.888614311465425]"
#325c3f,"[35.382489899407005, -19.116710231451282, 17.31470742919578]",#4b2e02,"[21.77892383873411, 20.91165446883298, 21.11808577621689]",#b6674f,"[52.075423523604925, 59.0365447954068, 26.369254252399347]",#5f9458,"[56.40352513787131, -26.10882593050741, 37.85311983395721]",#79ceb9,"[77.10637741780367, -39.248145076296, 8.575783425128076]"
#35101d,"[10.676985778398603, 15.89404550699855, -1.7359297245685645]",#6f323d,"[29.40771561175299, 39.02244237087066, 2.1810957072248556]",#332e53,"[21.140786517232797, -0.03456038028574582, -25.908807919011192]",#b15030,"[46.04140154388379, 76.2289516846463, 30.838627628087313]",#f9c394,"[82.54502092134186, 38.74711946285374, 39.160971427761694]"
#eed3cb,"[86.5428106342014, 16.687383227508974, 9.467671148122559]",#cd1542,"[44.10521113512253, 124.78602224416917, 13.60707310823275]",#081e26,"[9.954084759755741, -5.6506673220982835, -5.610930747125828]",#663c61,"[31.6237459853374, 20.428616780695805, -21.303652404903715]",#c9432d,"[47.78192147282864, 105.68998643095101, 30.882794343157723]"
#645380,"[38.645933433367205, 5.565101782533419, -33.664030440128194]",#deb68d,"[76.62431383996622, 28.57407596855321, 33.81291742507393]",#bc7866,"[57.15803731969038, 48.59206968071811, 21.7952417625684]",#441839,"[16.393878931710603, 18.528647377520322, -13.585875717584399]",#c48a91,"[63.308316390648486, 36.871735883551956, 3.021646785638431]"
#f8dad7,"[89.39604170550228, 18.089826988150268, 6.099639293169966]",#e32b65,"[50.688438280139465, 123.45027873254061, 2.394437853737226]",#fab7bb,"[80.61670467011477, 42.48174392218587, 6.340824322429805]",#5c041e,"[17.719743396430502, 48.60044678307475, 3.0575171412269744]",#c74d19,"[48.91119016733643, 99.41349174905928, 38.75161475431891]"
#98304a,"[36.52694265676323, 69.6928841918521, 1.8965298194663525]",#b07b60,"[56.32881735610556, 38.15625335783205, 25.44461024138157]",#a59cb5,"[65.83618575017292, 3.4569266386356503, -18.962034352739067]",#463427,"[23.353759057852855, 11.352527088185077, 10.103101257682567]",#a8989c,"[64.30791891970117, 9.166296011484773, -1.0678649949777945]"
#d8ce96,"[82.34866202183301, 9.199923711291419, 40.77909230088257]",#71694e,"[44.467303474849885, 6.406997844187384, 20.042149735853044]",#cac5b6,"[79.53786843103929, 3.7729154076085556, 12.041621605674]",#8fb3b0,"[70.32542276071503, -18.566661560116984, -1.612547044080912]",#e48526,"[64.49253159409366, 77.92514538470559, 57.29149299158406]"
#eec686,"[81.994438891839, 30.11952037396107, 47.85899069872395]",#454e4f,"[32.432546666626315, -4.665142191004488, -1.7639805734612148]",#709286,"[57.77346350052068, -17.227393495056493, 5.797881921459299]",#d26132,"[54.53622003517272, 90.76840821556698, 39.83178889972059]",#c3bc9e,"[76.09224464511347, 5.884652205979208, 23.120756067136025]"
#d3ceba,"[82.6665303202347, 4.056504715864079, 15.733028575306323]",#dac7ba,"[81.45512954909097, 12.156794680584623, 12.201026957700963]",#a78e74,"[60.625074295554015, 17.506094356685175, 21.937559131765603]",#4e3e3b,"[27.793306572823425, 9.421227670876727, 4.024423205725606]",#45526e,"[34.85364184058708, -7.350239402602983, -23.930773165128137]"
#833829,"[33.59349365208705, 55.62349931833432, 18.938802711736088]",#2c5255,"[32.31529586427625, -16.251046624812368, -5.897986546249438]",#d4c79c,"[80.31704167641855, 10.402669157210639, 32.61876865330775]",#9b9ea4,"[65.04388158341851, -2.0097788141425346, -5.140024138211044]",#ced6d0,"[84.87836300594002, -4.1567417609874315, 3.6986988294340737]"
#a97e6b,"[56.50492983324666, 29.71397678639494, 19.207496650334566]",#ce8e51,"[64.2122052700046, 49.596051041653986, 45.39774551591897]",#b84a46,"[46.354014157797735, 82.27378421958967, 19.71066709863585]",#646061,"[41.11768783609748, 2.199777667694514, -0.28336585766069766]",#3b2e42,"[21.121463693536704, 4.999791781366395, -12.381238648320364]"
#e7d9bb,"[87.09635651939874, 10.134292549735584, 23.89401119254312]",#d49e9c,"[70.0723239256105, 34.79826004257561, 8.907452322872786]",#333642,"[22.77686472680243, -1.976597786925, -8.964641415283237]",#67847a,"[52.719873615766616, -14.741229624837278, 4.7169404610332375]",#c2463e,"[47.2349219141499, 94.8408950476753, 23.97133934107917]"
#e1ddcb,"[87.98421413185658, 3.3299317748847854, 14.126284765512167]",#abbaa2,"[73.79410870141547, -7.319299950744927, 16.61304452368144]",#512f50,"[24.83292767615395, 15.212270859864912, -18.703113209124506]",#d68884,"[64.62147333557938, 53.406213041107335, 14.136761622324334]",#c0a1b4,"[69.46389119013622, 17.038856909051926, -10.736529862091487]"
#bba395,"[68.70028808835497, 15.653053379809577, 13.550637506743485]",#b45923,"[48.22329723643011, 73.4205635885587, 38.558465790926405]",#e6d7c4,"[86.70663965808113, 10.031291944550075, 16.11678335755881]",#77a8a4,"[65.44133995181559, -24.15888735818121, -1.9687138709340255]",#375a67,"[36.18290638510154, -15.69953287636125, -13.9677289634856]"
#8d9295,"[60.239744553143595, -2.9496890960123086, -2.9919274843488655]",#c4bcaa,"[76.43896740442483, 5.772072629694206, 14.606612704875879]",#ccb1a0,"[74.07475769820253, 17.742837406790496, 16.100606707298354]",#474d4d,"[32.2202151353282, -3.135185437650628, -0.6816860227755902]",#c6635c,"[53.71140014127006, 72.54190158831697, 19.605596063476174]"
#47576c,"[36.43953885132017, -8.535995754443157, -18.644372727264592]",#e1b4bb,"[77.42355982644627, 27.184620341101652, 0.7367996698764717]",#ddac8d,"[74.06269171326284, 34.227793969390525, 28.288120329867205]",#c2b296,"[73.22815117165428, 11.45722321171837, 22.62576502707403]",#562c4f,"[24.779236243725897, 19.633242590653555, -18.354028778505217]"
#a8b0bc,"[71.55912459107074, -5.023182186659181, -10.587844980452235]",#b9c0cd,"[77.53196641471875, -4.543315586522439, -11.233800164317014]",#d35667,"[53.47720874002107, 88.97350295393993, 9.902515561524071]",#bb0854,"[40.213943513087706, 106.3185364291883, -2.698084704020501]",#819898,"[61.124492039449336, -12.212230044354111, -2.645026529086959]"
